sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
/08/1992,/08/1992,"Lao People's Democratic Republic (the)",LAO,"Whole country",,,,Km2,Flood,"Riverine flood",--,--,10,150,21828,0,,1992-0488
/07/1993,/07/1993,"Lao People's Democratic Republic (the)",LAO,,,,93,Kph,Storm,--,--,--,8,120,302151,0,"Lewis & Winona",1993-0474
/08/1994,/08/1994,"Lao People's Democratic Republic (the)",LAO,Central,,,200,Km2,Flood,--,--,--,0,190000,0,0,,1994-0760
/09/1995,/09/1995,"Lao People's Democratic Republic (the)",LAO,"Bolikhamxay, Savannakhet, Champassak, Sekong, Attapeu provinces",,,625,Km2,Flood,"Riverine flood",--,--,0,391400,0,0,,1995-0229
/07/1995,/07/1995,"Lao People's Democratic Republic (the)",LAO,,,,,Km2,Flood,--,--,--,0,200000,0,0,,1995-0463
01/08/1995,01/08/1995,"Lao People's Democratic Republic (the)",LAO,,,,,Kph,Storm,"Tropical cyclone",--,--,26,1000000,0,0,,1995-0464
15/08/1996,15/08/1996,"Lao People's Democratic Republic (the)",LAO,"Huaphanh, Phongsaly, Luanprabang, Luangnamtha, Borikhamsay, Savanhnakheat, Vientiane, Khammuoane provinces,  Vientiane municapilty",,,200,Km2,Flood,"Riverine flood",--,--,30,420000,0,0,,1996-0215
/01/1999,//1999,"Lao People's Democratic Republic (the)",LAO,,,,,Km2,Drought,Drought,--,--,0,20000,0,0,,1999-9037
/09/2000,/09/2000,"Lao People's Democratic Republic (the)",LAO,"Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province",,,1104,Km2,Flood,--,--,--,15,450000,1000,0,,2000-0583
/08/2001,/08/2001,"Lao People's Democratic Republic (the)",LAO,"Khammouan, Savannakhet, Champasak, Attapu provinces",,,590,Km2,Flood,--,--,--,0,453000,0,0,,2001-0782
/08/2002,/08/2002,"Lao People's Democratic Republic (the)",LAO,"Bolikhamxai, Savannakhet, Vientiane, Vientiane capital, Khammouan, Oudomxai, Louangphabang provinces",,,,Km2,Flood,"Riverine flood",--,--,2,150000,0,0,,2002-0614
12/08/2008,18/08/2008,"Lao People's Democratic Republic (the)",LAO,"Louangphabang, Louang-Namtha, Bokeo, Khammouan, Vientiane, Vientiane capital, Bolikhamxai, Houaphan, Xaignabouli, Savannakhet, Champasak provinces",,,,Km2,Flood,"Riverine flood","Slide (land, mud, sn",--,6,204190,0,0,,2008-0452
29/09/2009,01/10/2009,"Lao People's Democratic Republic (the)",LAO,"Attapu, Xekong, Savannakhet, Salavan provinces",,,,Kph,Storm,"Tropical cyclone",Flood,--,16,128887,100000,0,"Tropical storm ""Ondoy"" (Ketsana)",2009-0414
10/08/2009,11/08/2009,"Lao People's Democratic Republic (the)",LAO,"Xebangfay, Nongbok, Mahaxay districts (Khammouan province)",17.83,104.79,24950,Km2,Flood,"Riverine flood",--,--,10,0,0,0,,2009-0612
23/06/2011,29/06/2011,"Lao People's Democratic Republic (the)",LAO,"Xiangkhouang, Vientiane, Bolikhamxai, Khammouan, Xaignabouli provinces",19.3801,101.56,36797,Km2,Flood,"Riverine flood",--,--,14,37000,0,0,,2011-0218
01/08/2011,13/10/2011,"Lao People's Democratic Republic (the)",LAO,"Savannakhet, Khammouan, Champasak provinces",,,,Km2,Flood,"Flash flood","Slide (land, mud, sn",--,34,430000,0,0,,2011-0324
/06/2013,/08/2013,"Lao People's Democratic Republic (the)",LAO,"Xay, Beng districts (Oudomxai province), Khop, Xienghone, Ngeun, Xayabury districts (Xaignabouli province), Bolikhanh, Paksane, Pakkading, Thaphabath districts (Bolikhamxai province), Nakai, Mahaxay, Nongbok, Xebangfay, Hinboon districts (Khammuan province), Pek, Kham, Thathom districts (Xiangkhouang province), Kasy, Feuang, Mad, Hom districts (Vientiane province)",,,,Km2,Flood,"Riverine flood",--,--,20,350077,60000,0,,2013-0338
16/09/2013,18/09/2013,"Lao People's Democratic Republic (the)",LAO,"Salavan, Champasak, Attapu, Savannakhet, Xekong provinces",,,,Km2,Flood,"Riverine flood",--,--,3,224176,61000,0,,2013-0417
12/08/2014,18/08/2014,"Lao People's Democratic Republic (the)",LAO,"Khammouan, Salavan, Champasak, Savannakhet provinces",,,,Km2,Flood,"Riverine flood",--,--,0,750,0,0,,2014-0411
01/08/2015,15/08/2015,"Lao People's Democratic Republic (the)",LAO,"Houaphan, Bolikhamxai, Khammouan, Louang-Namtha provinces",,,,Km2,Flood,--,--,--,0,47800,10000,0,,2015-0324
07/09/2015,11/09/2015,"Lao People's Democratic Republic (the)",LAO,"Nan district (Louangphabang province)
",,,,Km2,Flood,--,"Slide (land, mud, sn",--,4,140,0,0,,2015-0460
11/08/2016,20/08/2016,"Lao People's Democratic Republic (the)",LAO,"Luang Prabang city (Louangphrabang distrcit, Louangphabang province), Oudomxai, Salavan, Xaignabouli, Xiangkhouang, Houaphan, Bokeo provinces",,,,Km2,Flood,--,--,--,5,26328,50,0,,2016-0316
17/07/2017,19/07/2017,"Lao People's Democratic Republic (the)",LAO,"Borikhamxay province (Thongsaen, Napae villages)",,,,Kph,Storm,"Tropical cyclone",--,--,0,0,0,0,"Tropical Storm Talas",2017-0281
27/10/1962,27/10/1962,Thailand,THA,,,,,Kph,Storm,"Tropical cyclone",--,--,769,0,19000,0,Harriet,1962-0010
/09/1966,/09/1966,Thailand,THA,"Chiengrai to Ubon",,,,Km2,Flood,"Riverine flood",--,--,6,205200,1000,0,,1966-0067
03/01/1975,03/01/1975,Thailand,THA,South,,,,Km2,Flood,--,--,--,239,3000093,45000,0,,1975-0012
/08/1978,/08/1978,Thailand,THA,"North, Central, North East provinces",,,,Km2,Flood,--,--,--,96,1628400,400000,0,,1978-0106
/08/1978,/08/1978,Thailand,THA,"North, NorthEast",,,,Km2,Flood,--,--,--,0,400000,0,0,,1978-0187
/05/1978,/05/1978,Thailand,THA,,,,,Kph,Storm,--,--,--,50,0,0,0,,1978-0260
03/10/1980,03/10/1980,Thailand,THA,"Central, North East",,,,Km2,Flood,--,--,--,57,630000,59700,0,,1980-0280
06/07/1981,06/07/1981,Thailand,THA,"Nan province",,,,Kph,Storm,"Tropical cyclone",--,--,0,43000,0,0,Kelly,1981-0064
/12/1981,/12/1981,Thailand,THA,South,,,,Kph,Storm,--,--,--,55,0,13000,0,,1981-0104
/08/1983,/08/1983,Thailand,THA,Bangkok,,,,Km2,Flood,--,--,--,50,1000000,0,0,,1983-0105
/12/1984,/12/1984,Thailand,THA,"Southern, Eastearn",,,,Km2,Flood,--,--,--,17,34571,3000,0,,1984-0116
19/01/1984,19/01/1984,Thailand,THA,"Bangkok area",,,225,Km2,Flood,--,--,--,0,751600,400000,0,,1984-0353
12/10/1985,12/10/1985,Thailand,THA,"Suan Phung, Damnoen Saduak districts (Ratchaburi province)",,,13910,Km2,Flood,--,--,--,18,7640,3600,0,,1985-0016
08/05/1986,08/05/1986,Thailand,THA,"Bangkok, central, Eastern, Southern",,,,Km2,Flood,"Riverine flood",--,--,42,27801,2000,0,,1986-0059
30/11/1987,30/11/1987,Thailand,THA,South,,,1370,Km2,Flood,--,--,--,24,0,7200,0,,1987-0219
19/11/1988,27/11/1988,Thailand,THA,"Chumphon, Surat Thani, Nakhon Si Thammarat, Phatthalung, Krabi, Songkhla, Yala, Pattani, Ranong, Narathiwat, Satun, Phuket, Trang, Prachuap Khiri Khan provinces",,,,Km2,Flood,"Riverine flood",--,--,664,1114819,169146,0,,1988-0512
03/11/1989,05/11/1989,Thailand,THA,"Chumphon, Nakkhon Si Thammarat, Phetchaburi, Prachuap Khiri Khan, Ranong, Songkhla, Surat Thani provinces",,,120,Kph,Storm,"Tropical cyclone",--,--,458,199000,452000,0,Gay,1989-0131
08/10/1990,26/10/1990,Thailand,THA,"Central and northeastern Provinces",,,,Kph,Storm,"Tropical cyclone",--,--,36,0,50000,0,Ira,1990-0409
/08/1991,/08/1991,Thailand,THA,"Mae Salui and surrounding areas (North)",,,,Km2,Flood,"Riverine flood",--,--,16,2000,0,0,,1991-0530
26/10/1991,26/10/1991,Thailand,THA,"Southern coast",,,70,Km2,Flood,--,--,--,1,14574,1478,0,,1991-0709
17/08/1991,17/08/1991,Thailand,THA,"North and Northeast",,,,Kph,Storm,"Tropical cyclone",--,--,38,1894238,8323,0,,1991-0710
/03/1991,//1991,Thailand,THA,,,,,Km2,Drought,Drought,--,--,0,2500000,0,0,,1991-9078
19/05/1992,19/05/1992,Thailand,THA,,,,,Kph,Storm,--,--,--,0,0,0,0,,1992-0201
