"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
96,40,"KHM","Cambodia",15,"Otdar Mean Chey",96,"Anlong Veaeng","Srok","District",NA,NA
97,40,"KHM","Cambodia",15,"Otdar Mean Chey",97,"Banteay Ampil","Srok","District",NA,NA
98,40,"KHM","Cambodia",15,"Otdar Mean Chey",98,"Chong Kal","Srok","District",NA,NA
99,40,"KHM","Cambodia",15,"Otdar Mean Chey",99,"Samraong","Srok","District",NA,NA
100,40,"KHM","Cambodia",16,"Phnom Penh",100,"Dangkao","Srok","District",NA,NA
101,40,"KHM","Cambodia",16,"Phnom Penh",101,"Mean Chey","Srok","District",NA,NA
102,40,"KHM","Cambodia",16,"Phnom Penh",102,"Phnom Penh","Srok","District",NA,NA
103,40,"KHM","Cambodia",16,"Phnom Penh",103,"Ruessei Kaev","Srok","District",NA,NA
104,40,"KHM","Cambodia",17,"Pouthisat",104,"Bakan","Srok","District",NA,NA
105,40,"KHM","Cambodia",17,"Pouthisat",105,"Kandieng","Srok","District",NA,NA
106,40,"KHM","Cambodia",17,"Pouthisat",106,"Krakor","Srok","District",NA,NA
107,40,"KHM","Cambodia",17,"Pouthisat",107,"Phnum Kravanh","Srok","District",NA,NA
108,40,"KHM","Cambodia",17,"Pouthisat",108,"Sampov Meas","Srok","District",NA,NA
109,40,"KHM","Cambodia",17,"Pouthisat",109,"Veal Veaeng","Srok","District",NA,NA
110,40,"KHM","Cambodia",18,"Preah Vihéar",110,"Chey Saen","Srok","District",NA,NA
111,40,"KHM","Cambodia",18,"Preah Vihéar",111,"Chhaeb","Srok","District",NA,NA
112,40,"KHM","Cambodia",18,"Preah Vihéar",112,"Choam Khsant","Srok","District",NA,NA
113,40,"KHM","Cambodia",18,"Preah Vihéar",113,"Kuleaen","Srok","District",NA,NA
114,40,"KHM","Cambodia",18,"Preah Vihéar",114,"Rovieng","Srok","District",NA,NA
115,40,"KHM","Cambodia",18,"Preah Vihéar",115,"Sangkom Thmei","Srok","District",NA,NA
116,40,"KHM","Cambodia",18,"Preah Vihéar",116,"Tbaeng Mean chey","Srok","District",NA,NA
117,40,"KHM","Cambodia",19,"Prey Vêng",117,"Ba Phnum","Srok","District",NA,NA
118,40,"KHM","Cambodia",19,"Prey Vêng",118,"Kamchay Mear","Srok","District",NA,NA
119,40,"KHM","Cambodia",19,"Prey Vêng",119,"Kampong Leav","Srok","District",NA,NA
120,40,"KHM","Cambodia",19,"Prey Vêng",120,"Kampong Trabaek","Srok","District",NA,NA
121,40,"KHM","Cambodia",19,"Prey Vêng",121,"Kanhchriech","Srok","District",NA,NA
122,40,"KHM","Cambodia",19,"Prey Vêng",122,"Me Sang","Srok","District",NA,NA
