"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
75,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",75,"Boeng Pring","Khum","Commune",NA,NA
76,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",76,"Chrey","Khum","Commune",NA,NA
77,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",77,"Chrouy Sdau","Khum","Commune",NA,NA
78,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",78,"Kouk Khmum","Khum","Commune",NA,NA
79,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",79,"Ou Ta Ki","Khum","Commune",NA,NA
80,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",80,"Rung Chrey","Khum","Commune",NA,NA
81,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",81,"Ta Meun","Khum","Commune",NA,NA
82,40,"KHM","Cambodia",2,"Batdâmbâng",11,"Bat Dambang",82,"Ta Pung","Khum","Commune",NA,NA
83,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",83,"Ampil Pram Daeum","Khum","Commune",NA,NA
84,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",84,"Bavel","Khum","Commune",NA,NA
85,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",85,"Kdol","Khum","Commune",NA,NA
86,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",86,"Khnach Romeas","Khum","Commune",NA,NA
87,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",87,"Lvea","Khum","Commune",NA,NA
88,40,"KHM","Cambodia",2,"Batdâmbâng",12,"Bavel",88,"Prey Khpos","Khum","Commune",NA,NA
89,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",89,"Chrey","Khum","Commune",NA,NA
90,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",90,"Kakaoh","Khum","Commune",NA,NA
91,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",91,"Kear","Khum","Commune",NA,NA
92,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",92,"Moung Ruessei","Khum","Commune",NA,NA
93,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",93,"n.a. ( 346)","Khum","Commune",NA,NA
94,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",94,"n.a. ( 423)","Khum","Commune",NA,NA
95,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",95,"Preaek Chik","Khum","Commune",NA,NA
96,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",96,"Prey Svay","Khum","Commune",NA,NA
97,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",97,"Prey Touch","Khum","Commune",NA,NA
98,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",98,"Robas Mongkol","Khum","Commune",NA,NA
99,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",99,"Ruessei Krang","Khum","Commune",NA,NA
100,40,"KHM","Cambodia",2,"Batdâmbâng",13,"Moung Ruessei",100,"Ta Loas","Khum","Commune",NA,NA
101,40,"KHM","Cambodia",2,"Batdâmbâng",14,"Phnum Proek",101,"n.a. ( 244)","Khum","Commune",NA,NA
102,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",102,"Andaeuk Haeb","Khum","Commune",NA,NA
103,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",103,"Phlov Meas","Khum","Commune",NA,NA
104,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",104,"Sdau","Khum","Commune",NA,NA
105,40,"KHM","Cambodia",2,"Batdâmbâng",15,"Rotanak Mondol",105,"Traeng","Khum","Commune",NA,NA
106,40,"KHM","Cambodia",2,"Batdâmbâng",16,"Samlout",106,"n.a. ( 462)","Khum","Commune",NA,NA
107,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",107,"Anlong Vil","Khum","Commune",NA,NA
108,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",108,"Kampong Preah","Khum","Commune",NA,NA
109,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",109,"Kampong Pring","Khum","Commune",NA,NA
110,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",110,"n.a. ( 390)","Khum","Commune",NA,NA
111,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",111,"Norea","Khum","Commune",NA,NA
112,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",112,"Ou Dambang Muoy","Khum","Commune",NA,NA
113,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",113,"Ou Dambang Pir","Khum","Commune",NA,NA
114,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",114,"Reang Kesei","Khum","Commune",NA,NA
115,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",115,"Roka","Khum","Commune",NA,NA
116,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",116,"Ta Pon","Khum","Commune",NA,NA
117,40,"KHM","Cambodia",2,"Batdâmbâng",17,"Sangkae",117,"Voat Ta Muem","Khum","Commune",NA,NA
118,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",118,"Chamkar Samraong","Khum","Commune",NA,NA
119,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",119,"Kdol Doun Teav","Khum","Commune",NA,NA
120,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",120,"Ou Char","Khum","Commune",NA,NA
121,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",121,"Ou Mal","Khum","Commune",NA,NA
122,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",122,"Preaek Preah Sdach","Khum","Commune",NA,NA
123,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",123,"Rotanak","Khum","Commune",NA,NA
124,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",124,"Sla Kaet","Khum","Commune",NA,NA
125,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",125,"Svay Pao","Khum","Commune",NA,NA
126,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",126,"Tuol Ta Aek","Khum","Commune",NA,NA
127,40,"KHM","Cambodia",2,"Batdâmbâng",18,"Svay Pao",127,"Voat Kor","Khum","Commune",NA,NA
128,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",128,"Angk Phnum Touch","Khum","Commune",NA,NA
129,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",129,"Angkor Chey","Khum","Commune",NA,NA
130,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",130,"Champei","Khum","Commune",NA,NA
131,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",131,"Daeum Doung","Khum","Commune",NA,NA
132,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",132,"Dambouk Khpos","Khum","Commune",NA,NA
133,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",133,"Dan Koum","Khum","Commune",NA,NA
134,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",134,"Mroum","Khum","Commune",NA,NA
135,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",135,"Phnum Kong","Khum","Commune",NA,NA
136,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",136,"Praphnum","Khum","Commune",NA,NA
137,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",137,"Samlanh","Khum","Commune",NA,NA
138,40,"KHM","Cambodia",3,"Kâmpôt",19,"Angkor Chey",138,"Tani","Khum","Commune",NA,NA
139,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",139,"Banteay Meas Khang K","Khum","Commune",NA,NA
140,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",140,"Banteay Meas Khang L","Khum","Commune",NA,NA
141,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",141,"Prey Tonle","Khum","Commune",NA,NA
142,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",142,"Samraong Kraom","Khum","Commune",NA,NA
143,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",143,"Samraong Leu","Khum","Commune",NA,NA
144,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",144,"Sdach Kong Khang Che","Khum","Commune",NA,NA
145,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",145,"Sdach Kong Khang Lec","Khum","Commune",NA,NA
146,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",146,"Sdach Kong Khang Tbo","Khum","Commune",NA,NA
147,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",147,"Tnaot Chong Srang","Khum","Commune",NA,NA
148,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",148,"Trapeang Sala Khang","Khum","Commune",NA,NA
149,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",149,"Tuk Meas Khang Kaeut","Khum","Commune",NA,NA
150,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",150,"Tuk Meas Khang Lech","Khum","Commune",NA,NA
151,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",151,"Voat Angk Khang Cheu","Khum","Commune",NA,NA
152,40,"KHM","Cambodia",3,"Kâmpôt",20,"Banteay Meas",152,"Voat Angk Khang Tbou","Khum","Commune",NA,NA
153,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",153,"Baniev","Khum","Commune",NA,NA
154,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",154,"Boeng Nimol","Khum","Commune",NA,NA
155,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",155,"Chhuk","Khum","Commune",NA,NA
156,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",156,"Doun Yay","Khum","Commune",NA,NA
157,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",157,"Krang Sbov","Khum","Commune",NA,NA
158,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",158,"Krang Snay","Khum","Commune",NA,NA
159,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",159,"Lbaeuk","Khum","Commune",NA,NA
160,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",160,"Mean Chey","Khum","Commune",NA,NA
161,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",161,"Nareay","Khum","Commune",NA,NA
162,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",162,"Satv Pong","Khum","Commune",NA,NA
163,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",163,"Tramaeng","Khum","Commune",NA,NA
164,40,"KHM","Cambodia",3,"Kâmpôt",21,"Chhuk",164,"Trapeang Bei","Khum","Commune",NA,NA
165,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",165,"Chres","Khum","Commune",NA,NA
166,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",166,"Chumpu Voan","Khum","Commune",NA,NA
167,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",167,"Snay Anhchet","Khum","Commune",NA,NA
168,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",168,"Srae Chaeng","Khum","Commune",NA,NA
169,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",169,"Srae Knong","Khum","Commune",NA,NA
